Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1494414857.330493,0,1494414857,330492883,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.334613,0,1494414857,334613124,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3385453,0,1494414857,338545261,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3425558,0,1494414857,342555674,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3466074,0,1494414857,346607517,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3505518,0,1494414857,350551827,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.354594,0,1494414857,354593925,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3585558,0,1494414857,358555679,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3625193,0,1494414857,362519266,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3666131,0,1494414857,366613047,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3705404,0,1494414857,370540488,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3746665,0,1494414857,374666435,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3785625,0,1494414857,378562568,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3825161,0,1494414857,382516089,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.386662,0,1494414857,386662108,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3905017,0,1494414857,390501741,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3946493,0,1494414857,394649176,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.3985286,0,1494414857,398528640,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4025373,0,1494414857,402537452,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.406695,0,1494414857,406694920,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4105678,0,1494414857,410567766,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4146748,0,1494414857,414674789,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4185836,0,1494414857,418583614,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.422494,0,1494414857,422493971,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.426598,0,1494414857,426597968,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4304798,0,1494414857,430479760,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4346778,0,1494414857,434677753,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.438588,0,1494414857,438587856,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.442597,0,1494414857,442596906,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.446761,0,1494414857,446760884,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.450576,0,1494414857,450576181,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4546769,0,1494414857,454676918,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4585562,0,1494414857,458556107,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4625285,0,1494414857,462528578,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.466647,0,1494414857,466646839,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4704924,0,1494414857,470492249,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4746616,0,1494414857,474661561,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.47855,0,1494414857,478549863,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4825454,0,1494414857,482545261,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4866607,0,1494414857,486660746,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.4905517,0,1494414857,490551721,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.494647,0,1494414857,494646984,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.498491,0,1494414857,498491078,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5025597,0,1494414857,502559779,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5067704,0,1494414857,506770356,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5105572,0,1494414857,510557073,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5145872,0,1494414857,514587120,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5186162,0,1494414857,518616314,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.52258,0,1494414857,522579826,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5266118,0,1494414857,526611766,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5304935,0,1494414857,530493398,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.534644,0,1494414857,534643821,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5386033,0,1494414857,538603390,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5426054,0,1494414857,542605291,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.546662,0,1494414857,546662038,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5504837,0,1494414857,550483786,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5547464,0,1494414857,554746314,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5586157,0,1494414857,558615764,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5625691,0,1494414857,562569062,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5667088,0,1494414857,566708764,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5705945,0,1494414857,570594565,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.574592,0,1494414857,574592020,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5786314,0,1494414857,578631482,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.582551,0,1494414857,582550978,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.586683,0,1494414857,586683146,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
1494414857.5905607,0,1494414857,590560771,optical_speed,0.0,0.0,0.0,0.0,0.0,0.0
