Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1494414857.1609719,0,1494414857,160971784,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857.2605634,0,1494414857,260563349,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857.3605847,0,1494414857,360584850,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857.4605556,0,1494414857,460555604,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857.5605903,0,1494414857,560590339,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857.6606321,0,1494414857,660632144,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857.7606044,0,1494414857,760604375,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857.8605802,0,1494414857,860580198,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414857.9605346,0,1494414857,960534494,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858.0605147,0,1494414858,60514618,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858.1610115,0,1494414858,161011359,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858.2605405,0,1494414858,260540492,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858.360606,0,1494414858,360605858,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858.4607189,0,1494414858,460718837,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858.5605776,0,1494414858,560577566,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858.6606412,0,1494414858,660641157,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858.7607944,0,1494414858,760794392,gps,0,0,47.3961067199707,8.648130416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858.8605528,0,1494414858,860552670,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414858.9605546,0,1494414858,960554517,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859.0605497,0,1494414859,60549829,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859.1608534,0,1494414859,160853331,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859.2605066,0,1494414859,260506601,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859.3605282,0,1494414859,360528210,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859.4605331,0,1494414859,460533054,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859.5605671,0,1494414859,560567087,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859.6605654,0,1494414859,660565386,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859.7605686,0,1494414859,760568669,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859.8605835,0,1494414859,860583604,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414859.9605465,0,1494414859,960546519,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414860.0604959,0,1494414860,60495912,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414860.1609325,0,1494414860,160932459,gps,0,0,47.3961067199707,8.648131370544434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
